artist,genre,title,album,lyrics,labels
Kendrick Lamar,Hip-Hop,"Sing About Me, I’m Dying of Thirst","good kid, m.A.A.d city (Deluxe Version)",lumină opri rezolva principal preocupărea promisiune promis spune lumină sine vrea opri rezolva principal preocupărea promisiune promis trez vrea numi caz vrea spera putea norocos vis orfelină numim ghetou destul distragere nebunie exact fugi auzi bine pune tip bine spulberă tip spulberă tip spulberă tip bine bine ochi ritm deveni negru demon lipi prosperă prognostic problema bine dedică rahat piru totdeauna oară oară iubu promit vrea spune poveste vrea mare vrea muri vrea vrea spune vrea vorbă vorbă vrea scrie melodie soră caset numi mesaj nebun auzi putea pui explozie rahat trece rahat complet viitor nigga acum fund rahat nevoie ajunge drac parcr urmă titties drum primi castă tinkling fapt sens sens chip numi moment moment sistem lipsi hormon putea acolo probabil vrea denim genă familie arăta femeie bine lider nevoie probabil nevoie preda niggas zadarnic punct pomp intrua respingere album melodie nevoie aduce suficient cont propriu fapt simți fizic grozav doctor approval wast time know straight probably liv longer never fade away never fade away never fade away know fate gri thidă cak get vrea die trying eyeing every mal gender buying lying motherfuckers talking help em story selle thidă Pussy nigga ignore nigga rahat lumină sine stabili principal preocupare promisiune vrea promit vrea spune lumină sine opri stabili principal preocupare promisiune vrea promit vrea uita trece spere auzi cer tare putea isus scrie raps asigură mare salvare parfum securitate fidelitatu parte putea veni mamă sufere stomac putea sufere stomac urma sufer stomac urma sigur infatu moarte agravr putea limbă putea numi favorit probabil putea somn blocă schemă odihni dreptate frate materie dreptate frate frate frate frate frate frate frate frate frate frate frate frate real ecran caz ofensa trebui sine suflet exact sine vrea continua rost distractiv ban vrea slab rogi vrea puternic ruga rogi mare parte vrea puternic voie pune destul lucru spune lumină opri rezolva principal preocupare promisiune promit promit totdeauna pleca nigură asemenea sete muri sete muri sete dope corner legist ak bullets resuscitr putea sine greu candida energie clip budincă trez bun moarte set mort set moart sete termina pierde vis lovitură smulge reaper calling muzică tare melodie floare vrea vopsi sete vopsi sete vopsi sete hell hot fire proven burn eternitye return liv righteous tilioram shoot tired running humming tell us visi lie coming Back business loading guns Back buick hood feuding beef Bubbling Discussion cousins thirst dying thirst dying thirst many sins running lua privire luare sine acorda bun stres domn ierta bun stresez drac lume obosi obosi obosi sine sine sine spune promisiune sine complet complet sincer mori muri treizeci spere spera rogi lucrezi rahat fut nenorocit rahat Vino crede crede furios vedea tânăr muri sete nevoie trebui boteză vrea dumnezeu personal bine domn doamnă veni domn primi Isus preluă control primi Isus preluă control domn Iisus salva,"['Sadness', 'Tenderness']"
The Doors,Rock,Break On Through (To the Other Side),The Doors,distruge noaptea alerga parte pauz parte parte comorile acolo continuare timp parte pauz parte lume lume timp sine arm parte parte pauz scenă purta parte parte pauz,"['Nostalgia', 'Sadness', 'Tenderness', 'Tension']"
Wu-Tang Clan,Hip-Hop,Reunited,Wu-Tang Forever,vorbă wu wu mamafuckers reune dublu lume lovi meci industrie parabol metaforic fertiliza sine timp bate soft bate bure uncompleted Missions throwing Best known compositions could add iniuneafuropean mastered addition com visuals habitual saf Walking hot coals rituals splash paint formed mural took look plural rhyming impairede dart hit garment pierced internal streamlined compartments consider unparalleled advantage natural impossiblă managi bitchass niggas funk fuma marg arborelui parte portbagaj moonshin gru plimbă purta aur frusbees perete corect comely wright manhattan alb bunic duce bine drac veni gură speră precum avion motor seamă rza avion motigers rza avion motorfuckers jos avion motorfuckers rida avion sine rza avion rza rza comandă stinkbox sine plut chiuvet ciudat mare putea pune imagine video greu editare impulsiv atac mortal observa juca soufl rap regulă nivel precum suc fruct afine ginseng lua zgomot ban star rap twinkle criminal instinct bar nichel exemplar kinko picior completa Isus lume nevoie apete distruger rap atinge fier metal daud pistol sine unghi carnaj total lume bolnav flux vrea numi agent cod corect trebui omagiu timp rock lovi verb urlea know time sundial Watch shine drunk cheap wină line bu point speak behalf crew enter wu moră deadly chambers tak wu motherfuckers motherfuckers wu motherfuckers motherfuckers wu motherfuckers motherfuckers wu motherfuckers motherfuckers wu motherfuckers motherfuckers wu mamă aiyy rza,"['Joyful activation', 'Power', 'Solemnity']"
JAY-Z,Hip-Hop,Empire State of Mind,The Blueprint 3,brooklyn tribec right next since madă mak anywher love everywher used cop harlem hola dominicanos right brought Back mcdonald took stash spot kitchen like simmons Whipping pastry cruising conduce lent biggie acum locui aduce ty sorb tais curte nigge streets feel new big lights inspir com okay let us welcome Coam măde hot nigga catch yankee gamă shit măde yankee hat moră famous bleed blue crip though got gang niggas Walking clique though welcome melting putea corners afrika bambaataa rahat galben cabină gypsy dolar holla corect uita adauga acolo gol vrea primi plug special input got made lebron lo pace empire stat ayy concret lucru vrea lumină mare vrea inspira bine auzim come new york new york lights orb nevoie bli limită linie lateral sorb deveni treptat applu evă caught gets cold en vogue skin pity Whim Good girls gon bad citye filled took bus trip rid like bus rout hail mary city virgin save Life Church ends school players rap stars addicted limelight dormi bine aluneca ambien junglă beton ayy sine bine acum vre lumină mare vrea inspira bine auzim aer vorbă aer aer veni putea complic aer aer mare aer concret jungle vis bine acum vre lumină mare vrea inspira bine auzim vino,"['Joyful activation', 'Nostalgia', 'Power']"
Yellowman,Reggae,Wreck a pum pum,Nobody Move Nobody Get Hurt,popor acum dedic possie dem lord posse auzi poses wan auzi kingston posie auzi acum plimbare rupe inimă lua microfon drum promotor lucru putea numi romantism drum pum pum pum pon mare fat ting bruk num spune galbenman iub moarte bine gratuit fe pon pon chin piept plăcea sine veni iubi galben bun naufră pum pum alb mare spune galben bine jack strecor mare gras ting drum aur nume say vrea veni iubi galben rege pum pum pon mare drum picior dansez rugă spune galben iubi dulce domn sparrow naibii jos pum pum pon ocupa bruk Girl weh numi sharon spune galben auzi ban inna drum pum pon mare grasim,"['Calmness', 'Joyful activation', 'Nostalgia', 'Tenderness']"
Nirvana,Rock,Where Did You Sleep Last Night,MTV Unplugged in New York,fată fat spune dormi pin pin soare tremura noapte fat fată vrea merge duce acolo rece pin pin soare tremura noapte muncitor cap conducere corp fat fată dormi noapte pine soare vrea duce acolo rece pin pin soare tremura noapte fat fat mint spune dormi pin pin soare tremură noapte fată vrea merge duce acolo rece pin pin soare tremura noapte,"['Sadness', 'Tenderness', 'Tension']"
Radiohead,Rock,Identikit,A Moon Shaped Pool,moon shaped Pool let know never gon na moon shaped Pool let know never gon na moon shaped Pool let know never gon na ones nothing left insid love love ones nothing left insid love love see messing around know know want see messing around know know know mak rain mak rain mak rain mak rain mak rain mak rain mak rain mak rain mak rain mak rain mak rain hearts ploaie ploaie inimă rupt inimă rupe ragdoll putea crea putea crea putea putea omenire putea crea putea vrea dor seamă vrea,"['Sadness', 'Tenderness']"
Radiohead,Rock,High and Dry,The Bends,crede destul inteligent zbor teren ucide rup uscat uscat uscat uscat sussed ones spi bu onă screaming leav high leav dry leav high leav dry best thing ever Best thing ever ever Best thing ever Best thing gonă away leav high leav dry leav high leav dry leav high uscat,"['Nostalgia', 'Sadness', 'Tenderness', 'Tension']"
Garth Brooks,Country,That Summer,The Chase,duce departe femeie conte propriu mil putea vedea nevoie putea veni sigur timp oare timp foame putea nevoie tunet alunga fulger cer minune ochi iubit trebui arde cap arde ambii capete jur spune vrea spune vrea vrea vrea vrea vrea vrea vrea catifea exista afla nevoie tunet alunge fulger cere minune sine ochi trebui arde cap arde ambii capete oar crede vrea sine arunc lace rar every time pass Wheat field Watch dancing wi althoughe know real help feel hungry arms need feel thunder cha lightning sky Watch storm wonder lover eyes rida heat passion like comet burning bright dreams hav endse night dreams hav arde ambii capete,"['Nostalgia', 'Tenderness']"
Peter Tosh,Reggae,Pick Myself Up,Bush Doctor,sitting morning sun sweet sing wish could fly try said try try really try trya try got midday sun Wondering meal coming working hard piece bread yard said try lord try try really try try try sitting evening sun waiting zbur spune bun consider pierdere timp timp considera pierde timp trebui ridic,"['Calmness', 'Power', 'Sadness', 'Solemnity']"
Soundgarden,Rock,Mailman,Superunknown ,picior important prost uit vedea da acum vrea sigur deoarece parte jos parte jos parte jos duce ridică jos jos jos jos loc timp dispărea sigur vrea deoarece parte jos parte jos parte jos timp acum vrea vedea acum trimite mesaj dragoste viitor fund parte jos timp parcurs,"['Power', 'Sadness', 'Solemnity', 'Tension']"
Lil Wayne,Hip-Hop,A Milli,Tha Carter III,tânăr duce milionar milionar dur criteriu carieră corect creion scurgere foi tablet minte scrie rahat timp timp minte fiice prime maserati dancing Pussy popping said coppers prinde duce regulă curva lung cocs derriera fumat deschid crackers vrea vedea weezy bine goblin sperie fagot vrea priva naib schimbă nume cioar curvă cere ban surprinde primi plăcea rahat uita bolnav bolnav bolnav bolnav nod bolnav spune rapi spune om rahat acum intestin liber datorez vocal vrea prefera floare pen spune lume spune said could doubt motherfucker say lif shit without chrom lips poking coupe look like pouting crack rock mountain dare caus nobody near see feel fear illy,"['Power', 'Tension']"
Elvis Presley,Rock,Blue Christmas,Elvis’ Christmas Album,albastru vrea albastru copac ahh vrea fulge vrea amintire albastru chemă vrea bine ahh vrea albastru albastru albastru albastru albastru vrea timp alb alb ahh vrea albastru albastru albastru albastru albastru vrea timp vrea albastru albastru albastru albastru,"['Nostalgia', 'Sadness', 'Tension']"
Dolly Parton,Country,I Will Always Love You,Jolene,trebui vrea pleca vrea pas vrea iubi vrea iubi amintir dulce lua revedere nevoie vrea iubi vrea iubi speră bucură sper vrea iubi vrea iubi vrea iubi,"['Nostalgia', 'Sadness', 'Tenderness']"
The Notorious B.I.G.,Hip-Hop,Warning,Ready to Die,drac acum frig ochi vedea paginare pop nigga spune sine loc joc noroc auzi complot complex niggas vrea lipi vecin ruga caper niggas deal derulă fluture fum fumat frumos faimă nigga nah spune niggas moment cifră minor acum auzi nitro vrea damn Wanna lip auzi auzi kilogramă jos auzi auzi coridor chemă cororon lent alarm jaf sune crede prinde praf Devora criminal arunce zecimal niggas vrea cremă vis sine părea fum imagine acum vrea pistoal putea alunec negru ligament pune drac niggas intra cheddar simți beretta buck lovi aduce durere jachet trebui clipură suplimentar buzunar putea clipură suplimentar dur fum periculos drac echipaj slab veni poppa mare alerge nigga bate armă auzi veni mamă veni repede putea fund haid apropie sigur sigur omul drac bine casă drac bine rahat mamă punct cap punct hai cap rahat,"['Power', 'Tension']"
Johnny Cash,Country,Man in Black,Man In Black,negru culoare aspect părea ton somber motiv lucru port negru parte port prizonier timp deoarece timp purta negru asculta asculta cuvânt spune spune vorbă charity talking straight mighty fin supposă streak lightning cars reminded ones held back front ought man black wear itve sick lonely old reckless ones whose bad trip left cold wear black mourning lives could hav Week lose hundrede fin wear itvi thousandse died domn parte port muri parte bine lucru vrea dreptate lucru trebui sine schimbă duce lucru corect vrea vedea port port curcubeu,"['Calmness', 'Sadness', 'Solemnity', 'Tension']"
Tim McGraw,Country,Indian Outlaw,Not a Moment Too Soon,baby chippewa bun num urs sat ordin linie wigwam vrea bate cap scoate fumă trece jur trez copil bun căut problem putea poneiu dublu bulă domn veni aminti prinde jur spune amabil choctaw copil chippewa ucide deer arunc plăcea timp sine jur noaptea arunce privire pune picior choctaw copil chippewa popor,"['Joyful activation', 'Power', 'Tenderness']"
Creed,Rock,Faceless Man,Human Clay,petrece petrece timp natură aminti real amuzant singur spune amuzant singur sta sta om acum sarcină priv ochi concisi aminti corect priv ochi concisi aminti bine sta sta interior chip sta domn sta chip interior putea vedea vrea afla om lateral putea plimba singur ocupă lateră sta chip viitor vrea vedea vrea spune alega vrea intra vrea pleca viitor vrea vedea vrea spune alega intra vrea pleca sta chip sta,"['Calmness', 'Power', 'Sadness', 'Solemnity']"
Rita Marley,Reggae,Love Iyah,Harambe (Working Together For Freedom),love lyah love iyah iyah brother says love lyah sister says love lyah life hearts strong begets evil go wrong say love lyah love iyah say love iyah peoplu say love lyah love iyah love lyah coam children love iyah glory train love iyah sine vrea ridica nume parlamentarilor sine vrea vrea bin spune dragoste lyah dragoste lyah spune dragoste lyah soră spune dragoste iyah spune dragoste iyah dragoste iyah pace dragoste lyah love lyah vrea cumpăra suflet ban lapte miere minte lyah dragoste iyah spune dragoste iyah soră spune dragoste lyah ail spune dragoste lyah dragoste lyah spune dragoste iyah prunc love lyah jah chemare puternic putere zadar lucru bun vrea spune iubi curge bine iubi iyah pace dragoste iyah spune dragoste lyah,"['Joyful activation', 'Solemnity', 'Tenderness']"
Eminem,Hip-Hop,Killshot,Killshot,drac deveni ciudat bine striga microfon nenorocit vrea microfon striga microfon lov text insulta linie compliment naibiu părea vrea atac cord uita mil nordictrack seamă uita sun autograf fiic scrie starter cap nebun naib lua foc spune prinde scop spune apel striga gură fiiceu cuiva nenorocit deal acum munte Ho pune butou crom bitch arc spune vrea alerga telefon filet telefon mort singur moment continuare cereal drac lapte bol lua rahat nevoie material citire slim ultim suprat recuperr filmr acum oops cunosc fapt veni lil goof lux rupe curv destui ban arde amuzant prefera lovi putea umple furie vechi propriu lil merge babysiting lil dur got diddy bine petrece videoclip seamă capră biggie jay vrea pune nume ultim spune zadarnic creier extraterestru mare mare hit joc schimbat ucidă sine munc drac fi oarecare folosi nume str spune nume nenorocit acum primi pop pop moment mare trebui oferi distruge duce dormi vrea oferi b efort unsprezece priv record suge pulă drac lichet ravo bullets bine destul rapper drac vrea trebui lua flanel vrea sandal timp timp umbri trebui umbră butou coboara jur sombrero putea vedea nenorocit interior piele bine rap bine moarte scrisor dragoste scobitoar crede plăce acum microfon scrie drept pierziu lupta alege vrea naib unghie sicriu moi Cottotonelle killshot vrea document spune scoate hit diddy lovitură ucide pac sick wack using mothafucking let us talk let us talk sick mumblă rap Mouth need get cock talk sick blonde hair look mirror think leav dick mouth keep juca iub,"['Power', 'Tension']"
The Smiths,Rock,Cemetry Gates,The Queen Is Dead,cimitism parte cemetry parte timp interior citim grav pietră om acum iubire pasiune muri sine părea nedrept vrea oar salut zori cuvânt bine auzi spune oar trebui poezie cuvânt folosi trebui poemă mare mare poemă vrea vrea vrea timp cuvânt putea text smulge soare merge acolo cemetry parte gată cemetry parte pierază iubit ciudat,"['Power', 'Sadness', 'Solemnity', 'Tension']"
Peter Tosh,Reggae,Equal Rights,Equal Rights,lume pace dreptate lume pace dreptate vrea pace nevoie egal dreptate nevoie egal dreptate nevoie egal dreptate trebui aduce egal dreptate lume vrea cer vrea Isus lume vrea cer trebui egal dreptate egal need equal rights justic giv share equal rights justic duee better giv Better giv caus want peace need equal rights justic need equal rights justic got get equal rights justic fighting rights justic everyonă headed top tell far everybody fighting reach top far bottom vrea pace vrea egal nevoie egal primi egal nevoie egal lume criminalitate spune infractor spune lume criminalitate spune criminale really see want peace need equal rights get equal rights justic ther crimă justic criminals equal rights justic everyonă fighting equal rights justic palestin fighting equal rights justic rights justic rights justic justic rhodesie equal rights justic right dreptate,"['Power', 'Tension']"
Inner Circle,Reggae,Rivers Of Babylon,Jamaika Me Crazy,dj dis sing song prai shout load reach zion hav strong like lion unity strength divided fall stand right pur want lock thoughts river sat wept wicked carried us away captivity us song sing king alpha song strange land sing loud sing song lung lung surore cuvânt gură acceptabil captivitat melodie ciudat cuvânt acceptabil cuvânt viziune,"['Calmness', 'Power', 'Sadness', 'Solemnity', 'Tension']"
Shaggy,Reggae,Big Up,Pure Pleasure,plăcea plus shagsman devean lucru mare mare mare parte pon street whole heap man bigă bige fat buff fat buff expensiv rough hand inna big fat buff know comfort put hand inna big fat buff another virgin bluff put hand inna big fat buff vrea dapper inna pur simplu spune wa sarit piele spune strigare sexy lua lucru mare aduce suna stil bine fantezie spune spune om gata lua aspect voc noapte seamă gata seamă seamă buff expensiv rough well pe hand inna big fat buff know comfort put hand inna big fat buff vrea dapper big well want man tell nic ey Want man tell sweet eey want man tell nic man tell sweet acum acum pantalon acum acum acum acum spune ajuta crește manville ajuta ajută crește spune spune mare buff gal expensiv rough gal big tell say confess gal big tell say virgin bluff buff expensiv rough well pe hand inna big fat buff know comfort put hand inna big fat buff vrea dapper sight aha Watch go cop ples stand ple plin machiaj sine stradă pon mare parte mare buff shagsman girl man buff gal gras buff ochi ey vrea cunosc king king ochi bige acum big,"['Amazement', 'Joyful activation', 'Tenderness']"
Led Zeppelin,Rock,Immigrant Song,Led Zeppelin III,ahh ahh venim soare izvor curge ciocan vrea conduce navă luptă hoard veni singur obiectiv vrea vestic ahh venim soare izvor cald curge moi verde gor calma val oar oar singur obiectiv vrea occidental acum oprire reconstrui ruin pace putea ciudă pierdere pierder pace,"['Power', 'Solemnity']"
​​blink-182,Rock,Misery,California (Deluxe Edition),epav timp rupt foc mare jur copac greu halou punct vedere nevoie fumat fum fum seamă fum seamă foc trebui lorda companie dragoste nevoie lega urla arde vrea drum putea dormi mizerie companie vrea vrea vrea rupe halou arunca fum vorbă foc mizerie companie nevoie nevoie nevoie nevoie nevoie nevoie cincisprezece oară noapte soare treaz apropiat margine oblivion cincisprezece oară vrea acolo lung timp film timp margine pat gol ucide distractiv margine fum foc foc mizerie companie nevoie smulge frică mizerie companie nevoie nevoie,"['Power', 'Sadness', 'Solemnity']"
Wu-Tang Clan,Hip-Hop,Protect Ya Neck (The Jump Off),The W,mahalal intra doamnă dance mantis scandat imn swing pată samprage direct om mare scandalos metrou static automat timp primi ban ban drastic bastr sine numerar sine numerar timp sine drastic timp sine timp sine numerar ban timp sine ban Ho sine simți blugiu real sine ego real linie aduce civil ofertă factur stomac timp cuvânt set greu fapt sens timp ucide niggas putea spune pune cizmă parcurge iad ninja videoclip Milli nici_un serie metafizic vorbe criminal fact timp drac digital fum Jones cap lua pariure ban ban suflare cap cod mort x plumb spray street connor complet deplin plumb spray precum totalitate plumb niggas est putea prinde pereche polo skipperys sine potrivi paletă radă gingiile bobby putea prinde fază afara putea prinde parc studiu vrea prinde clichet comun arunca fum wallo vorbă rock constant sport nebun vechi md nat turners wit Jackie niggas ram reimburs rothsdal ruby Red sales bitches sine niggas Wanna pop clip vrea pune pulă buz ya alabam ciocan repede gamma ray rahat snitch voce pulbere alb verbal killas Gorilla grip zeu throus shit puf marley spliffs putea vedea vrea vrea vedea vrea vrea vedea vrea vedea vrea vedea vrea vedea copil benzo profil mort serios flick ban pisice pozez melodie Cip bord joc got gam sword liv maxim dor layaway standby timp rulă piesă record vorbă apuca sportiv fier sol fir sprint pistol bun moment flux rapid haină cameră cameră,"['Nostalgia', 'Power', 'Tension']"
Martina McBride,Country,I Just Call You Mine,Shine,prie asigura vis sine părea ochi respir dulce moment sine simți vrea transform lume vedea lume picior nevoie lume rezolva picior picior slab moment puternic trebui prost uita merit sens lume dispărea idee,"['Amazement', 'Tenderness']"
